,Nick,PDL,Jogos,link
84,斗鱼丶阿豪ei,1133,352,https://lol.qq.com/tft/#/masterDetail/68fa17e0-6045-587a-b0b4-3e87981a5a97/1
85,六个字可以吗,1133,341,https://lol.qq.com/tft/#/masterDetail/c8134249-896f-5a39-9837-685d3b7e1dcb/1
86,虎牙丶sea,1122,356,https://lol.qq.com/tft/#/masterDetail/a13730fa-32a8-5b04-8d11-23b0ab992056/1
87,虎牙红莲丶777,1118,314,https://lol.qq.com/tft/#/masterDetail/d0d7365d-3c7d-53c2-9c90-794eb41bb948/1
88,斗鱼丶雪下望月,1106,392,https://lol.qq.com/tft/#/masterDetail/b65cf359-718a-5f67-9717-8203fb76783d/1
89,图奇丶绝世拿铁,1102,320,https://lol.qq.com/tft/#/masterDetail/7b3706b7-8bf8-5900-8a12-67f540998cc6/1
90,虎牙冲榜赛丶狂乱,1100,343,https://lol.qq.com/tft/#/masterDetail/34943721-6feb-5dc1-a867-cddb6fe9f9d1/1
91,粉红暴龙战士丶,1140,477,https://lol.qq.com/tft/#/masterDetail/eede9dbf-31ef-5ce1-87a1-99e138a1b8dc/1
92,斗鱼炬合丶梨落,1136,290,https://lol.qq.com/tft/#/masterDetail/460a11d7-c4cd-574f-8bd2-4b986bf7395c/1
93,上分加729889524,1135,278,https://lol.qq.com/tft/#/masterDetail/a23afc66-7a75-5d29-8832-bc873401e844/1
94,斗鱼丶阿豪ei,1133,352,https://lol.qq.com/tft/#/masterDetail/68fa17e0-6045-587a-b0b4-3e87981a5a97/1
95,六个字可以吗,1133,341,https://lol.qq.com/tft/#/masterDetail/c8134249-896f-5a39-9837-685d3b7e1dcb/1
96,虎牙丶sea,1122,356,https://lol.qq.com/tft/#/masterDetail/a13730fa-32a8-5b04-8d11-23b0ab992056/1
97,虎牙红莲丶777,1118,314,https://lol.qq.com/tft/#/masterDetail/d0d7365d-3c7d-53c2-9c90-794eb41bb948/1
98,斗鱼丶雪下望月,1106,392,https://lol.qq.com/tft/#/masterDetail/b65cf359-718a-5f67-9717-8203fb76783d/1
99,图奇丶绝世拿铁,1102,320,https://lol.qq.com/tft/#/masterDetail/7b3706b7-8bf8-5900-8a12-67f540998cc6/1
100,虎牙冲榜赛丶狂乱,1100,343,https://lol.qq.com/tft/#/masterDetail/34943721-6feb-5dc1-a867-cddb6fe9f9d1/1
